PLY;Points
cell_17_29.ply;928
cell_17_30.ply;915
cell_17_31.ply;1097
cell_17_32.ply;696
cell_17_33.ply;414
cell_17_34.ply;573
cell_17_35.ply;895
cell_17_36.ply;716
cell_17_37.ply;809
cell_17_38.ply;449
cell_17_39.ply;98
cell_18_5.ply;18
cell_18_6.ply;291
cell_18_7.ply;519
cell_18_8.ply;536
cell_18_9.ply;642
cell_18_10.ply;466
cell_18_11.ply;516
cell_18_12.ply;832
cell_18_13.ply;975
cell_18_14.ply;1387
cell_18_15.ply;938
cell_18_16.ply;1133
cell_18_17.ply;2269
cell_18_18.ply;767
cell_18_19.ply;1370
cell_18_20.ply;1094
cell_18_21.ply;1250
cell_18_22.ply;1378
cell_18_23.ply;915
cell_18_24.ply;1097
cell_18_25.ply;1439
cell_18_26.ply;1772
cell_18_27.ply;1542
cell_18_28.ply;2145
cell_18_29.ply;842
cell_18_30.ply;1128
cell_18_31.ply;1088
cell_18_32.ply;1199
cell_18_33.ply;596
cell_18_34.ply;734
cell_18_35.ply;812
cell_18_36.ply;816
cell_18_37.ply;575
cell_18_38.ply;546
cell_18_39.ply;90
cell_19_6.ply;279
cell_19_7.ply;556
cell_19_8.ply;343
cell_19_9.ply;365
cell_19_10.ply;452
cell_19_11.ply;153
cell_19_12.ply;802
cell_19_13.ply;699
cell_19_14.ply;600
cell_19_15.ply;1217
cell_19_16.ply;911
cell_19_17.ply;1379
cell_19_18.ply;771
cell_19_19.ply;1025
cell_19_20.ply;944
cell_19_21.ply;1134
cell_19_22.ply;977
cell_19_23.ply;905
cell_19_24.ply;1186
cell_19_25.ply;996
cell_19_26.ply;924
cell_19_27.ply;1374
cell_19_28.ply;1583
cell_19_29.ply;1834
cell_19_30.ply;1111
cell_19_31.ply;875
cell_19_32.ply;409
cell_19_33.ply;823
cell_19_34.ply;566
cell_19_35.ply;584
cell_19_36.ply;619
cell_19_37.ply;333
cell_19_38.ply;352
cell_19_39.ply;74
cell_20_7.ply;333
cell_20_8.ply;662
cell_20_9.ply;349
cell_20_10.ply;368
cell_20_11.ply;266
cell_20_12.ply;337
cell_20_13.ply;345
cell_20_14.ply;809
cell_20_15.ply;603
cell_20_16.ply;739
cell_20_17.ply;841
cell_20_18.ply;1345
cell_20_19.ply;783
cell_20_20.ply;1343
cell_20_21.ply;966
cell_20_22.ply;1621
cell_20_23.ply;896
cell_20_24.ply;1197
cell_20_25.ply;1292
cell_20_26.ply;1050
cell_20_27.ply;555
cell_20_28.ply;775
cell_20_29.ply;1205
cell_20_30.ply;1266
cell_20_31.ply;869
cell_20_32.ply;637
cell_20_33.ply;605
cell_20_34.ply;575
cell_20_35.ply;549
cell_20_36.ply;537
cell_20_37.ply;346
cell_20_38.ply;537
cell_20_39.ply;18
cell_21_7.ply;39
cell_21_8.ply;740
cell_21_9.ply;462
cell_21_10.ply;487
cell_21_11.ply;337
cell_21_12.ply;423
cell_21_13.ply;424
cell_21_14.ply;475
cell_21_15.ply;875
cell_21_16.ply;748
cell_21_17.ply;1129
cell_21_18.ply;1070
cell_21_19.ply;1205
cell_21_20.ply;1268
cell_21_21.ply;1003
cell_21_22.ply;841
cell_21_23.ply;618
cell_21_24.ply;696
cell_21_25.ply;461
cell_21_26.ply;449
cell_21_27.ply;370
cell_21_28.ply;228
cell_21_29.ply;216
cell_21_30.ply;1013
cell_21_31.ply;510
cell_21_32.ply;627
cell_21_33.ply;560
cell_21_34.ply;802
cell_21_35.ply;642
cell_21_36.ply;652
cell_21_37.ply;481
cell_21_38.ply;388
cell_21_39.ply;85
cell_22_8.ply;155
cell_22_9.ply;684
cell_22_10.ply;390
cell_22_11.ply;348
cell_22_12.ply;448
cell_22_13.ply;620
cell_22_14.ply;535
cell_22_15.ply;487
cell_22_16.ply;558
cell_22_17.ply;385
cell_22_18.ply;1294
cell_22_19.ply;1316
cell_22_20.ply;1308
cell_22_21.ply;1155
cell_22_22.ply;748
cell_22_23.ply;797
cell_22_24.ply;768
cell_22_25.ply;496
cell_22_26.ply;911
cell_22_27.ply;423
cell_22_28.ply;377
cell_22_29.ply;489
cell_22_30.ply;412
cell_22_31.ply;389
cell_22_32.ply;687
cell_22_33.ply;865
cell_22_34.ply;516
cell_22_35.ply;256
cell_22_36.ply;523
cell_22_37.ply;339
cell_22_38.ply;168
cell_22_39.ply;24
cell_23_9.ply;129
cell_23_10.ply;479
cell_23_11.ply;157
cell_23_12.ply;669
cell_23_13.ply;230
cell_23_14.ply;610
cell_23_15.ply;694
cell_23_16.ply;491
cell_23_17.ply;410
cell_23_18.ply;196
cell_23_19.ply;635
cell_23_20.ply;1351
cell_23_21.ply;1548
cell_23_22.ply;1213
cell_23_23.ply;1641
cell_23_24.ply;1024
cell_23_25.ply;558
cell_23_26.ply;271
