//X Y Z Roughness_(0.15893) R G B
19.18233299 2.72113323 0.58072710 0.049561 0 247 7
17.72597504 5.81534004 0.79979229 0.037185 0 184 70
17.66426849 6.28614140 0.85977221 0.049512 0 247 7
19.43537140 2.74202538 0.99117410 0.034410 0 169 85
17.59804344 6.09573460 1.18745506 0.016438 0 80 174
13.37651253 26.12291527 -0.69722247 0.066292 76 255 0
0.44715786 27.25445175 -0.97458148 0.010505 0 50 204
20.13245392 16.36189079 0.05579829 0.011772 0 56 198
31.80000687 -1.28781986 -0.15510893 0.044362 0 220 34
27.09668350 1.96809196 -0.15557933 0.018564 0 91 163
18.82602692 4.02884960 0.18263006 0.043330 0 217 37
19.46594620 3.05616760 0.37912750 0.038419 0 190 64
19.31463242 2.72496510 0.34809041 0.012890 0 62 192
17.68553352 6.27107191 0.37389159 0.033272 0 166 88
17.30761337 6.05783415 0.42020679 0.042676 0 211 43
17.50788116 5.92926073 0.71358395 0.066526 79 255 0
19.31425095 2.69377661 0.80925155 0.014442 0 71 183
17.54451180 6.28347349 0.75856304 0.025661 0 127 127
17.72436523 6.09791660 1.05481148 0.099272 243 255 0
19.37601089 2.78802681 1.27593684 0.000626 0 2 252
46.06383133 3.65039396 -0.88073277 0.022002 0 109 145
35.52892303 11.59059334 -0.57401276 0.025433 0 124 130
26.84934616 12.78271866 -0.70872927 0.003366 0 14 240
32.70056152 4.35356379 -0.50555062 0.034290 0 169 85
22.65998840 5.22369432 -0.31678176 0.028355 0 139 115
